[Fri Jun 05 06:08:01.802904 2020] [mpm_winnt:notice] [pid 12492:tid 860] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Fri Jun 05 06:08:01.802904 2020] [mpm_winnt:notice] [pid 12492:tid 860] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Fri Jun 05 06:08:01.802904 2020] [core:notice] [pid 12492:tid 860] AH00094: Command line: 'C:\\Users\\bingk\\Desktop\\Github\\Database-Server/apache2/bin/httpd_usbwv8.exe -d C:/Users/bingk/Desktop/Github/Database-Server/apache2'
[Fri Jun 05 06:08:01.809915 2020] [mpm_winnt:notice] [pid 12492:tid 860] AH00418: Parent: Created child process 1704
[Fri Jun 05 06:08:08.637932 2020] [mpm_winnt:notice] [pid 1704:tid 884] AH00354: Child: Starting 64 worker threads.
[Fri Jun 05 06:44:01.408397 2020] [:error] [pid 1704:tid 1380] [client ::1:1458] PHP Parse error:  syntax error, unexpected '<' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 17, referer: http://localhost:8080/
[Fri Jun 05 06:48:42.487118 2020] [:error] [pid 1704:tid 1380] [client ::1:1503] PHP Parse error:  syntax error, unexpected 'in' (T_STRING) in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 22, referer: http://localhost:8080/
[Fri Jun 05 06:48:54.429641 2020] [:error] [pid 1704:tid 1380] [client ::1:1506] PHP Notice:  Use of undefined constant username - assumed 'username' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 18, referer: http://localhost:8080/
[Fri Jun 05 08:38:48.340626 2020] [:error] [pid 1704:tid 1360] [client ::1:4761] PHP Parse error:  syntax error, unexpected 'float' (T_STRING), expecting ',' or ';' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 19, referer: http://localhost:8080/process_login.php
[Fri Jun 05 08:42:09.505725 2020] [:error] [pid 1704:tid 1360] [client ::1:4772] PHP Parse error:  syntax error, unexpected 'float' (T_STRING), expecting ',' or ';' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 19, referer: http://localhost:8080/process_login.php
[Fri Jun 05 08:42:10.234305 2020] [:error] [pid 1704:tid 1360] [client ::1:4772] PHP Parse error:  syntax error, unexpected 'float' (T_STRING), expecting ',' or ';' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 19, referer: http://localhost:8080/process_login.php
[Fri Jun 05 08:44:57.007206 2020] [:error] [pid 1704:tid 1360] [client ::1:4802] PHP Parse error:  syntax error, unexpected 'float' (T_STRING), expecting ',' or ';' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 20, referer: http://localhost:8080/process_login.php
[Fri Jun 05 08:57:06.184939 2020] [:error] [pid 1704:tid 1360] [client ::1:4898] PHP Notice:  Use of undefined constant username - assumed 'username' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 48, referer: http://localhost:8080/process_login.php
[Fri Jun 05 12:17:09.695843 2020] [:error] [pid 1704:tid 1360] [client ::1:6640] PHP Parse error:  syntax error, unexpected '{' in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 51, referer: http://localhost:8080/register_new_user.php
[Fri Jun 05 13:31:39.146517 2020] [:error] [pid 1704:tid 1360] [client ::1:7133] PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php:220) in C:\\Users\\bingk\\Desktop\\Github\\Database-Server\\root\\index.php on line 221, referer: http://localhost:8080/login_form.php
[Fri Jun 05 14:40:26.222066 2020] [:error] [pid 1704:tid 1380] [client ::1:6990] script 'C:/Users/bingk/Desktop/Github/Database-Server/root/processs_logout.php' not found or unable to stat, referer: http://localhost:8080/index.php
